date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:33	119174/119174	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:32%20GMT	https://www.stanthonygkp.com/	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/index.html	(from )
23:16:33	143/143	---M-Z	200	added ('OK')	text/plain	etag:%223cb-69899cf0-f1b2db995377210;gz%22	https://www.stanthonygkp.com/robots.txt		(from )
23:16:33	16626/16626	---M--	200	added ('OK')	image/jpeg	etag:%2240f2-689af09b-d6d26042ff0662be;;;%22	https://www.stanthonygkp.com/assets/images/logo/emblem%201.jpg	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/images/logo/emblem%201.jpg	(from https://www.stanthonygkp.com/)
23:16:34	82527/82527	---M-Z	200	added ('OK')	text/css	etag:%221425f-689af09b-7f1fafe6240e7c03;gz%22	https://www.stanthonygkp.com/assets/css/plugins/animate.min.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/plugins/animate.min.css	(from https://www.stanthonygkp.com/)
23:16:35	570114/570114	---M-Z	200	added ('OK')	text/css	etag:%228b302-689af09b-f93d899489a5df6;gz%22	https://www.stanthonygkp.com/assets/css/plugins/fontawesome.min.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/plugins/fontawesome.min.css	(from https://www.stanthonygkp.com/)
23:16:36	213853/213853	---M-Z	200	added ('OK')	text/css	etag:%223435d-689af09b-8fa6fb21908977c5;gz%22	https://www.stanthonygkp.com/assets/css/vendor/bootstrap.min.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/vendor/bootstrap.min.css	(from https://www.stanthonygkp.com/)
23:16:37	26126/26126	---M-Z	200	added ('OK')	text/css	etag:%22660e-689af09b-20a4a6c857a5fdeb;gz%22	https://www.stanthonygkp.com/assets/css/plugins/swiper.min.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/plugins/swiper.min.css	(from https://www.stanthonygkp.com/)
23:16:38	8399/8399	---M-Z	200	added ('OK')	text/css	etag:%2220cf-689af09b-d2e38765c292b542;gz%22	https://www.stanthonygkp.com/assets/css/vendor/magnific-popup.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/vendor/magnific-popup.css	(from https://www.stanthonygkp.com/)
23:16:39	3589/3589	---M-Z	200	added ('OK')	text/css	etag:%22e05-689af09b-3ffc3e1f21a92dfa;gz%22	https://www.stanthonygkp.com/assets/css/vendor/metismenu.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/vendor/metismenu.css	(from https://www.stanthonygkp.com/)
23:16:40	4497/4497	---M-Z	200	added ('OK')	text/css	etag:%221191-689af09b-f5ed7e7cd88173cb;gz%22	https://www.stanthonygkp.com/assets/css/plugins/nice-select.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/plugins/nice-select.css	(from https://www.stanthonygkp.com/)
23:16:41	37593/37593	---M-Z	200	added ('OK')	text/css	etag:%2292d9-689af09b-980b945b028e8e5d;gz%22	https://www.stanthonygkp.com/assets/css/plugins/jquery-ui.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/plugins/jquery-ui.css	(from https://www.stanthonygkp.com/)
23:16:42	530972/530972	---M-Z	200	added ('OK')	text/css	etag:%2281a1c-689af09b-b0b58e123ef1e007;gz%22	https://www.stanthonygkp.com/assets/css/style.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/style.css	(from https://www.stanthonygkp.com/)
23:16:43	5078/5078	---M-Z	200	added ('OK')	text/css	etag:%2213d6-689af09b-65a2747eb1d870f3;gz%22	https://www.stanthonygkp.com/assets/css/flexslider.css	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/css/flexslider.css	(from https://www.stanthonygkp.com/)
23:16:45	119174/119174	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:44%20GMT	https://www.stanthonygkp.com/index.php	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/index-2.html	(from https://www.stanthonygkp.com/)
23:16:45	77810/77810	---M--	200	added ('OK')	image/png	etag:%2212ff2-689af09b-3e13616e24f5c9a1;;;%22	https://www.stanthonygkp.com/assets/images/logo/emblem%201.png	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/assets/images/logo/emblem%201.png	(from https://www.stanthonygkp.com/)
23:16:47	36150/36150	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:46%20GMT	https://www.stanthonygkp.com/content.php?slug=about-us	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/contenteff3.html	(from https://www.stanthonygkp.com/)
23:16:48	34607/34607	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:47%20GMT	https://www.stanthonygkp.com/content.php?slug=objectives	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content0365.html	(from https://www.stanthonygkp.com/)
23:16:49	39012/39012	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:48%20GMT	https://www.stanthonygkp.com/principal.php	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/principal.html	(from https://www.stanthonygkp.com/)
23:16:50	35045/35045	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:49%20GMT	https://www.stanthonygkp.com/content.php?slug=fees-structure	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content610f.html	(from https://www.stanthonygkp.com/)
23:16:51	35302/35302	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:50%20GMT	https://www.stanthonygkp.com/content.php?slug=admission-details	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content8115.html	(from https://www.stanthonygkp.com/)
23:16:52	34651/34651	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:51%20GMT	https://www.stanthonygkp.com/content.php?slug=attendance-and-absence	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content75f9.html	(from https://www.stanthonygkp.com/)
23:16:53	34697/34697	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:52%20GMT	https://www.stanthonygkp.com/content.php?slug=holidays	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content3b50.html	(from https://www.stanthonygkp.com/)
23:16:54	35808/35808	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:53%20GMT	https://www.stanthonygkp.com/content.php?slug=behaviour-discipline-policy	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content3466.html	(from https://www.stanthonygkp.com/)
23:16:55	34669/34669	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:54%20GMT	https://www.stanthonygkp.com/content.php?slug=co-curricular-activities	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/contenta1d1.html	(from https://www.stanthonygkp.com/)
23:16:56	34891/34891	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:55%20GMT	https://www.stanthonygkp.com/content.php?slug=school-timings	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content8778.html	(from https://www.stanthonygkp.com/)
23:16:57	35045/35045	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:56%20GMT	https://www.stanthonygkp.com/content.php?slug=fee-structure	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content874f.html	(from https://www.stanthonygkp.com/)
23:16:58	34964/34964	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:46:57%20GMT	https://www.stanthonygkp.com/content.php?slug=the-curriculum	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/contentc251.html	(from https://www.stanthonygkp.com/)
